Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
1996,179040,Dianna Quigley,Miss,Female,1,Single,125,2021-07-30,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,1994
1998,179041,Alfredo Pfeffer,Miss,Female,1,Single,125,2021-08-02,4/22/2022,Inactive,4/22/2022,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,1994
2000,5317,Mable Langworth,Mr,Male,1,Married,78,2021-08-02,12/9/2021,Inactive,12/9/2021,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Accountant,1987
2001,5318,Marianne Hessel,Mr,Male,1,Single,33,2021-08-02,8/3/2021,Inactive,8/3/2021,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1993
2002,5319,Gerry Kshlerin,Mr,Male,1,Single,36,2021-08-02,1/21/2022,Inactive,1/21/2022,545,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1991
2006,201001,Berta Davis,Mr,Male,1,Married,31,2021-07-30,11/15/2022,Inactive,11/15/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
2007,1795051,Norene Sipes,Mr,Male,1,Married,31,2021-08-03,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971
2009,5320,Jeffry Hansen,Mr,Male,1,Single,54,2021-07-28,11/11/2021,Inactive,11/11/2021,\N,\N,Staff,Contarct Basis,Buddhist,Lab Technician,1991
2010,5321,Malinda Ritchie,Mr,Male,1,Single,36,2021-08-05,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1995
2013,201005,Dr Neal Zemlak,Ms,Female,1,Married,25,2021-08-02,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Document Controller,1978
2016,201008,Edison Mills,Mr,Male,3,Single,31,2021-08-08,2/25/2022,Inactive,2/25/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1997
2017,5322,Ms Rowena Mayert IV,Mr,Male,1,Married,6,2021-08-09,\N,Active,\N,2017,\N,Staff,Contarct Basis,Buddhist,Project Manager,1967
2018,5323,Miss Rita Considine PhD,Mr,Male,1,Single,22,2021-08-09,8/13/2021,Inactive,8/13/2021,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1996
2019,5324,Uriah Nienow,Mr,Male,1,Married,22,2021-08-09,\N,Active,\N,673,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1990
2020,1795052,Arnulfo Kuphal,Mr,Male,5,Married,31,2021-08-10,5/19/2022,Inactive,5/19/2022,\N,\N,Labour,Contarct Basis,Muslim,Unskilled Labor,1964
2023,1795054,Drake Hamill,Mr,Male,1,Married,31,2021-08-11,5/5/2022,Inactive,5/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
2024,1795055,Miss Savanah Moore Sr,Mr,Male,1,Married,31,2021-08-11,2/7/2022,Inactive,2/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984
2027,5325,Jaquelin Kohler,Miss,Female,1,Single,170,2021-08-11,7/14/2022,Inactive,7/14/2022,\N,\N,Staff,Contarct Basis,Buddhist,Planning Engineer cum QAQC,1996
2031,195033,Mr Shaun Mante Jr,Mr,Male,3,Married,29,2021-08-13,10/23/2021,Inactive,10/23/2021,\N,\N,Labour,Contarct Basis,Hindu,Cook,1985
